Bundesland,Total,Wood_m3,PCT
Baden-Württemberg,16259,438907018.0,3.7044292602311497
Bayern,36982,807088612.0,4.5821486575503805
Hessen,18316,272354797.0,6.725051367463156
Mecklenburg-Vorpommern,3842,159078012.5,2.4151672123763803
Niedersachsen,11463,329195515.0,3.4821252045308086
Nordrhein-Westfalen,30409,275665021.5,11.031142012335431
Rheinland-Pfalz,12519,261365280.0,4.789848138972399
Saarland,711,27784663.5,2.5589656682363637
Sachsen,4049,160687208.0,2.5198023230324593
Sachsen-Anhalt,5096,148148852.5,3.439783645978628
Schleswig-Holstein,1068,52573543.0,2.031440034391443
Thüringen,8826,171315232.0,5.1519061655883585
